club,last_name,first_name,position,base_salary,guaranteed_compensation
Atlanta United,Adams,"Mohammed ""Mo""",M,121000.0,141000.0
Atlanta United,Ambrose,Mikey,D,81375.0,81375.0
Atlanta United,Araujo,Luiz,F,3600000.0,3941667.0
Atlanta United,Barco,Ezequiel,M,1875000.0,2358333.0
Atlanta United,Bauer,Josh,D,63547.0,63547.0
Atlanta United,Bello,George,D,135000.0,139000.0
Atlanta United,Campbell,George,D,80000.0,80000.0
Atlanta United,Chol,Machop,M,63547.0,63547.0
Atlanta United,Conway,Jackson,F,63547.0,63547.0
Atlanta United,Damm,Jurgen,M,1290000.0,1582509.0
Atlanta United,De John,Alex,D,81375.0,81375.0
Atlanta United,Escobar,Franco,D,450000.0,450000.0
Atlanta United,Franco,Alan,D,378000.0,505500.0
Atlanta United,Guzan,Brad,G,805000.0,805000.0
Atlanta United,Hernandez,Ronald,D,250000.0,250000.0
Atlanta United,Hyndman,Emerson,M,900000.0,900000.0
Atlanta United,Ibarra,Franco,M,300000.0,370000.0
Atlanta United,Kann,Alec,G,115000.0,115000.0
Atlanta United,Lennon,Brooks,D,375000.0,375000.0
Atlanta United,Lopez Samaniego,Erik,F,340000.0,508300.0
Atlanta United,Lundgaard,Ben,G,81375.0,81375.0
Atlanta United,Martinez,Josef,F,3500000.0,3891667.0
Atlanta United,Morales,Efrain,D,63547.0,63547.0
Atlanta United,Moreno,Marcelino,F,400000.0,400000.0
Atlanta United,Mulraney,Jake,M,275600.0,312777.0
Atlanta United,Robinson,Miles,D,650000.0,687500.0
Atlanta United,Rossetto,Matheus,M,550000.0,662500.0
Atlanta United,Sejdic,Amar,M,81375.0,81375.0
Atlanta United,Sosa,Santiago,F,385000.0,503100.0
Atlanta United,Torres,Erick,F,81375.0,81375.0
Atlanta United,Walkes,Anton,D,250000.0,275062.0
Atlanta United,Washington,Bryce,D,63547.0,63547.0
Atlanta United,Wolff,Tyler,F,75000.0,79500.0
Austin FC,Berhalter,Sebastian,M,85000.0,122250.0
Austin FC,Besler,Matt,D,650000.0,650000.0
Austin FC,Cascante,Julio,D,290000.0,317500.0
Austin FC,Djitte,Moussa,F,500000.0,500000.0
Austin FC,Dominguez,Cecilio,F,1530000.0,1736000.0
Austin FC,Driussi,Sebastian,F,2571420.0,2688420.0
Austin FC,Fagundez,Diego,M,400000.0,400000.0
Austin FC,Gaines,McKinze,F,81375.0,84125.0
Austin FC,Gallagher,Jon,F,81375.0,81375.0
Austin FC,Hoesen,Danny,F,650000.0,716667.0
Austin FC,Jimenez,Hector,D,250000.0,250000.0
Austin FC,Kleeman,Freddy,D,63547.0,63547.0
Austin FC,Kolmanic,Zan,D,225000.0,225000.0
Austin FC,Lima,Nick,D,350000.0,350000.0
Austin FC,Manneh,Kekuta,F,81375.0,81375.0
Austin FC,Pereira,Danny,M,81375.0,99793.0
Austin FC,Perez,Manny,M,63547.0,89214.0
Austin FC,Pochettino,Tomas,M,582447.0,642447.0
Austin FC,Pulisic,William,G,63547.0,63547.0
Austin FC,Redes,Rodney,F,385000.0,385000.0
Austin FC,Ring,Alexander,M,1000000.0,1095000.0
Austin FC,Romana,Jhohan,D,420000.0,420000.0
Austin FC,Schoenfeld,Aaron,F,210000.0,210000.0
Austin FC,Scott,Brady,G,115000.0,121236.0
Austin FC,Segura,Ulises,M,240000.0,269125.0
Austin FC,Stanley,Aedan,D,63547.0,63547.0
Austin FC,Stroud,Jared,M,81375.0,81375.0
Austin FC,Stuver,Brad,G,150000.0,160000.0
Austin FC,Sweat,Ben,D,250000.0,250000.0
Austin FC,Tarbell,Andrew,G,275000.0,283333.0
Austin FC,Wolff,Owen,M,63547.0,76600.0
Charlotte FC,Armour,Adam,D,63547.0,63547.0
Charlotte FC,Bronico,Brandt,M,81375.0,90705.0
Chicago Fire,Aliseda,Ignacio,M,600000.0,821501.0
Chicago Fire,Beric,Robert,F,2274996.0,2703164.0
Chicago Fire,Bornstein,Jonathan,D,300000.0,323200.0
Chicago Fire,Brady,Chris,G,66724.0,68624.0
Chicago Fire,Calvo,Francisco,D,830000.0,902600.0
Chicago Fire,Casas,Javier,M,66724.0,68624.0
Chicago Fire,Collier,Elliot,M,101375.0,101375.0
Chicago Fire,Espinoza,Jhon,D,162000.0,188500.0
Chicago Fire,Gimenez,Gaston,M,2058000.0,2358667.0
Chicago Fire,Gutierrez,Brian,M,66724.0,68624.0
Chicago Fire,Herbers,Fabian,M,230000.0,251250.0
Chicago Fire,Ivanov,Stanislav,M,275000.0,334000.0
Chicago Fire,Kappelhof,Johan,M,462500.0,490333.0
Chicago Fire,Kronholm,Kenneth,G,569000.0,632000.0
Chicago Fire,Medran,Alvaro,M,1000000.0,1055000.0
Chicago Fire,Monis,Alex,M,66724.0,68624.0
Chicago Fire,Navarro,Miguel Angel,D,150000.0,197000.0
Chicago Fire,Navarro,Federico,M,180000.0,257500.0
Chicago Fire,Offor,Chinonso,F,132000.0,181400.0
Chicago Fire,Omsberg,Wyatt,D,85444.0,85444.0
Chicago Fire,Pineda,Mauricio,M,175000.0,198875.0
Chicago Fire,Reynolds,Andre,D,81375.0,89375.0
Chicago Fire,Rodriguez,Allan,M,66724.0,68624.0
Chicago Fire,Sekulic,Boris,D,571000.0,643900.0
Chicago Fire,Shuttleworth,Bobby,G,110000.0,125750.0
Chicago Fire,Slonina,Gabriel,G,100000.0,104800.0
Chicago Fire,Slonina,Nicholas,D,66724.0,67974.0
Chicago Fire,Stojanovic,Luka,M,314000.0,373400.0
Chicago Fire,Teran,Carlos,D,150000.0,205440.0
Colorado Rapids,Abubakar,Lalas,D,210000.0,247125.0
Colorado Rapids,Acosta,Kellyn,M,1000000.0,1115000.0
Colorado Rapids,Anderson,Sebastian,D,90000.0,91667.0
Colorado Rapids,Badji,Dominique,F,300000.0,306250.0
Colorado Rapids,Barrios,Michael,M,650000.0,650000.0
Colorado Rapids,Bassett,Cole,M,110000.0,119000.0
Colorado Rapids,Beitashour,Steven,D,150000.0,165000.0
Colorado Rapids,Edwards,Michael,D,81375.0,81375.0
Colorado Rapids,Esteves,Lucas,D,369996.0,412467.0
Colorado Rapids,Ford,Kortne,D,140000.0,140000.0
Colorado Rapids,Galvan,Braian,F,160000.0,252375.0
Colorado Rapids,Hundley,Matt,F,95000.0,104000.0
Colorado Rapids,Irwin,Clint,G,190000.0,203300.0
Colorado Rapids,Kaye,Mark-Anthony,M,235625.0,247188.0
Colorado Rapids,Kelly,Jeremy,D,85444.0,85444.0
Colorado Rapids,Larraz,Oliver,M,63547.0,63547.0
Colorado Rapids,Lewis,Jonathan,F,410000.0,435000.0
Colorado Rapids,Mayaka,Philip,M,81375.0,94375.0
Colorado Rapids,Mezquida,Nicolas,M,350000.0,380000.0
Colorado Rapids,Moor,Drew,D,150000.0,165000.0
Colorado Rapids,Namli,Younes,M,850000.0,1271000.0
Colorado Rapids,Price,Jack,M,600000.0,655625.0
Colorado Rapids,Rawls,Andre,G,85000.0,91000.0
Colorado Rapids,Rodriguez,Abraham,G,63547.0,63547.0
Colorado Rapids,Rosenberry,Keegan,D,285000.0,298750.0
Colorado Rapids,Rubio Kostner,Diego,F,585000.0,629583.0
Colorado Rapids,Shinyashiki,Andre,F,120000.0,130000.0
Colorado Rapids,Toure,"Dantouma ""Yaya""",F,63547.0,78165.0
Colorado Rapids,Trusty,Auston,D,375000.0,431250.0
Colorado Rapids,Vint,Will,D,63547.0,63547.0
Colorado Rapids,Warner,Collen,M,81375.0,81375.0
Colorado Rapids,Wilson,Danny,D,275000.0,288750.0
Colorado Rapids,Yapi,Darren,F,63547.0,74380.0
Colorado Rapids,Yarbrough,William,G,300000.0,375000.0
Columbus Crew,Abdul-Salaam,Saad,D,125000.0,133667.0
Columbus Crew,Afful,Harrison,D,335000.0,365000.0
Columbus Crew,Berry,Miguel,F,85444.0,85444.0
Columbus Crew,Bush,Evan,G,376000.0,438667.0
